index	study_id	id	author	year	group	group_id	group_desc	url	country	region	city	time_MAX	time_50	time_MIN	detailed_time	exp_dur	fu_dur	age_base	age_SD	days_ps	days_cat	yrs_ps	stroke_type	nihss_base	mmse_base	mMmse_base	fim_base	brunstrom_base	frenchay_base	fac_base	barthel_base	mBarthel_base	motricity_base	BBS_base	BBT_base	gcs_base	MAS_base	sis_base	rivermead_base	ashworth_base	mAshworth_base	rankin_base	bdi_base	cesd_base	OPS_base	terminal_dropout	outcome_name	fma_outcome	speed_outcome	SCOAR_outcome	p_outcome_stated	itt_analysis	base_n	base_m	base_sd	difference_score	term_n	term_m	term_sd	diff_base	diff_term	fu_n	fu_m	fu_sd	est_corr	term_diff	term_s_diff	fu_diff	fu_s_diff	term_d	fu_d	j_corr_factor	term_g	fu_g	term_Vd	fu_Vd	term_Vg	fu_Vg
11	4	aisen/volpe1997/1999	aisen/volpe	1997/1999	exp	9	robot assisted therapy + conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/9109746	usa	NY	white plains						1098.5	58.5		19.6	<90days	0.05369863	1		8.22		73																			0	fma	fma		lohse	0	0	10	17.1	15.18	1	10	31.2		1	0	6			0.5	14.1	15.18		15.18	0.928853755		0.914285714	0.849237719		0.143138465		0.119652072	
12	5	arya2012	arya	2012	ctrl	10	standard care	http://www.ncbi.nlm.nih.gov/pubmed/22668675	india	uttar pradesh	lucknow	20	20	20	1	28	56	50.21		86.59	<90days	0.237232877	1	5.29																						0	fma-ue	fma		lohse	0	1	52	9.88	8.82	0	52	16.42	11.16	0	0	52	19	12.09	0.5	6.54	10.05828017	9.12	10.5820721	0.650210562	0.861834989	0.985221675	0.640601539	0.849098512	0.023295902	0.026372688	0.022612441	0.025598959
13	5	arya2012	arya	2012	exp	11	"""meaningful"" task specific therapy"	http://www.ncbi.nlm.nih.gov/pubmed/22668675	india	uttar pradesh	lucknow	20	20	20	1	28	56	51.67		83.44	<90days	0.22860274	1	5.63																						0	fma-ue	fma		lohse	0	1	51	11.98	9.74	0	51	29	14.7	0	0	51	32.02	15.47	0.5	17.02	12.46911384	20.04	12.92649411	1.364972701	1.550304346	0.984924623	1.344395223	1.526932924	0.037874024	0.043171015	0.036740701	0.041879188
14	6	bale2008	bale	2008	ctrl	12	training as usual	http://www.ncbi.nlm.nih.gov/pubmed/18955423	norway		Førde	16.67	16.67	16.67	1	28		64.9		32	<90days	0.087671233	1																							0	gait speed SSV		speed	lohse	0	1	10	0.38	0.3	0	10	0.46	0.3						0.5	0.08	0.3		0.3	0.266666667		0.914285714	0.243809524		0.103555556		0.086563991	
15	6	bale2008	bale	2008	exp	13	functional strength training	http://www.ncbi.nlm.nih.gov/pubmed/18955423	norway		Førde	16.67	16.67	16.67	1	28		60.8		49.4	<90days	0.135342466	1																							0	gait speed SSV		speed	lohse	0	1	8	0.13	0.2	0	8	0.36	0.2						0.5	0.23	0.2		0.2	1.15		0.888888889	1.022222222		0.20765625		0.164074074	
16	7	barbeau2003	barbeau	2003	exp	14	locomotor training with full weight bearing + CPT	http://www.ncbi.nlm.nih.gov/pubmed/14586912	canada	quebec	montreal					42	112	66.7		78.4	<90days	0.214794521	0											21.9												14	gait speed overground		speed	lohse	1	0	50	0.17	0.18	0	36					23			0.5		0.18		0.18			0.984615385						
17	7	barbeau2003	barbeau	2003	exp	15	body weight supported treadmill training	http://www.ncbi.nlm.nih.gov/pubmed/14586912	canada	quebec	montreal					42	112	66.5		68.1	<90days	0.186575342	0											23.3												7	gait speed overground		speed	lohse	1	0	50	0.18	0.16	0	43					29			0.5		0.16		0.16			0.984615385						
18	8	blennerhassett2004	blennerhassett	2004	exp	16	targeted lower limb mobility therapy + usual therapy	http://www.ncbi.nlm.nih.gov/pubmed/15574110	australia	victoria	melbourne	31.2	31.2	31.2	1	28	180	53.9	19.8	36	<90days	0.098630137	1																							0	6minwt			lohse	0	1	15	183	85	0	15	404	101	0	0	15	416	171	0.5	221	93.34345183	233	135.0296264	2.367600465	1.725547247	0.945454545	2.238458622	1.631426488	0.253517732	0.16591711	0.22661552	0.148310699
19	8	blennerhassett2004	blennerhassett	2004	exp	17	targeted upper extremity intervention + usual therapy	http://www.ncbi.nlm.nih.gov/pubmed/15574110	australia	victoria	melbourne	31.8	31.8	31.8	1	28	180	56.3	10.5	51.1	<90days	0.14	1																							0	JTHFT-time			lohse	0	1	11	41.8	18.4	0	11	24.3	11.3	0	0	11	23.6	12.2	0.5	-17.5	15.26843148	-18.2	15.61089363	1.146155715	1.16585254	0.923076923	1.05798989	1.076171576	0.150621496	0.152691461	0.12834021	0.130103967
20	8	blennerhassett2004	blennerhassett	2004	exp	16	targeted lower limb mobility therapy + usual therapy	http://www.ncbi.nlm.nih.gov/pubmed/15574110	australia	victoria	melbourne	31.2	31.2	31.2	1	28	180	53.9	19.8	36	<90days	0.098630137	1																							0	tug			USU	0	1	15	24.3	7	0	15	11.5	3.8	0	0	15	10.8	4.5	0.5	-12.8	5.632051136	-13.5	5.884301148	2.272706638	2.294240159	0.945454545	2.148740821	2.169099786	0.238839849	0.24211793	0.21349519	0.216425416
21	8	blennerhassett2004	blennerhassett	2004	exp	17	targeted upper extremity intervention + usual therapy	http://www.ncbi.nlm.nih.gov/pubmed/15574110	australia	victoria	melbourne	31.8	31.8	31.8	1	28	180	56.3	10.5	51.1	<90days	0.14	1																							0	tug			USU	0	1	15	25.3	17	0	15	19.1	14.4	0	0	14	21.3	30.3	0.5	-6.2	15.75372972	-4	24.32889609	0.393557596	0.164413543	0.945454545	0.372090818	0.155445531	0.071829586	0.067567727	0.064207339	0.06039773
22	9	boake2007	boake	2007	ctrl	18	conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/17172550	usa	TX	houston	36	36	36	1	14	90	58.9		14	<90days	0.038356164	1	5.3																						4	fma-ue	fma		lohse	1	0	11	36.71	14.22	0	9	46.71	14.88	0	0	7	50.14	10.88	0.5	10	14.51703827	13.43	13.06792447	0.688845742	1.027707195	0.923076923	0.635857608	0.948652795	0.112477657	0.138917367	0.09583895	0.118367461
23	9	boake2007	boake	2007	exp	19	CIMT	http://www.ncbi.nlm.nih.gov/pubmed/17172550	usa	TX	houston	162	106	36	1	14	90	63.1		14	<90days	0.038356164	1	4.9																						1	fma-ue	fma		lohse	1	0	10	29.44	12.11	0	9	47.89	6.71	0	0	9	53.44	8.63	0.5	18.45	9.941184981	24	10.61542745	1.855915571	2.260860442	0.914285714	1.696837093	2.067072404	0.27222113	0.355574497	0.227554643	0.297231253
24	10	bolognini2011	bolognini	2011	ctrl	20	sham tDCS + CIMT	http://www.ncbi.nlm.nih.gov/pubmed/21803933	italy		milan	184	112	40	1	14	42	50.8		780	>1year	2.136986301	1		29.57						15.14												12			0	jebsen taylor hand function			lohse	1	0	7	95.68	105.8	0	7	81.83	105.8			7	86.79	99.59	0.5	-13.85	105.8	-8.89	102.7419294	0.130907372	0.086527478	0.869565217	0.113832498	0.075241285	0.144081196	0.143391929	0.108946084	0.108424899
25	10	bolognini2011	bolognini	2011	exp	21	tDCS + CIMT	http://www.ncbi.nlm.nih.gov/pubmed/21803933	italy		milan	184	112	40	1	14	42	42.57		1332	>1year	3.649315068	1		29.42						17.86												6.8			0	jebsen taylor hand function			lohse	1	0	7	100.65	103.005	0	7	67.97	93.37			7	72.16	91.15	0.5	-32.68	98.30561257	-28.49	97.25829663	0.332432698	0.292931308	0.869565217	0.289071911	0.254722876	0.150750821	0.148986339	0.113989279	0.112655077
26	11	brock2011	brock	2011	ctrl	22	"""task practice"" intervention"	http://www.ncbi.nlm.nih.gov/pubmed/21788266	australia	victoria	melbourne	6	6	6	1	14		56.6	15.8	63.6	<90days	0.174246575	1																							1	6minwt			lohse	1	0	15	78.5	61.3	0	14	119.5	80.2	0	0				0.5	41	71.0305568		61.3	0.577216368		0.945454545	0.545731839		0.077772625		0.069519728	
27	11	brock2011	brock	2011	exp	23	bobath + task specific practice	http://www.ncbi.nlm.nih.gov/pubmed/21788266	australia	victoria	melbourne	6	6	6	1	14		61.3	13	60.3	<90days	0.165205479	1																							2	6minwt			lohse	1	0	14	102.6	64.5	0	12	192.5	113.5	0	0				0.5	89.9	90.32072483		64.5	0.995341879		0.941176471	0.936792357		0.106810909		0.094614508	
28	11	brock2011	brock	2011	ctrl	22	"""task practice"" intervention"	http://www.ncbi.nlm.nih.gov/pubmed/21788266	australia	victoria	melbourne	6	6	6	1	14		56.6	15.8	63.6	<90days	0.174246575	1																							1	gait speed		speed	USU	1	0	14	26.4	18.9	0	14	36.2	27.9						0.5	9.8	23.82876413		18.9	0.411267657		0.941176471	0.387075442		0.077469324		0.068623346	
29	11	brock2011	brock	2011	exp	23	bobath + task specific practice	http://www.ncbi.nlm.nih.gov/pubmed/21788266	australia	victoria	melbourne	6	6	6	1	14		61.3	13	60.3	<90days	0.165205479	1																							2	gait speed		speed	USU	1	0	12	30.6	16.2	0	12	56.8	28.3						0.5	26.2	23.057862		16.2	1.136271871		0.930232558	1.056997089		0.13712974		0.118662836	
30	12	broeren2008	broeren	2008	ctrl	24	continuation of previous therapy	http://www.ncbi.nlm.nih.gov/pubmed/18667809	sweden		gothenburg					28		68		2160	>1year	5.917808219	1																							0	box and block test			lohse	1	0	11	40.2	17.2	0	11	40.6	16	0	0				0.5	0.4	16.61083983		17.2	0.024080661		0.923076923	0.022228302		0.090935449		0.07748346	
31	12	broeren2008	broeren	2008	exp	25	computer gaming therapy + conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/18667809	sweden		gothenburg					28		67		1869	>1year	5.120547945	1																							0	box and block test			lohse	1	0	11	37.5	14.6	0	11	40.3	16.5	0	0				0.5	2.8	15.57899227		14.6	0.179729212		0.923076923	0.165903888		0.09237739		0.078712096	
32	13	brokaw2014	brokaw	2014	ctrl	26	conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/24297763	usa	DC	washington DC	12	12	12	1	30		57		1095	>1year	3	0												6.1											0	fma	fma		lohse	0	0	5	17.6	4.35	0	5	18.39	4.38						0.5	0.79	4.365025773		4.35	0.18098404		0.8	0.144787232		0.203275522		0.130096334	
33	13	brokaw2014	brokaw	2014	exp	27	robot-assisted UE therapy	http://www.ncbi.nlm.nih.gov/pubmed/24297763	usa	DC	washington DC	12	12	12	1	30		57		1095	>1year	3	0												6.1											0	fma	fma		lohse	0	0	7	25.75	11.03	0	7	28.47	12.3						0.5	2.72	11.68227076		11.03	0.232831447		0.869565217	0.202462128		0.14672932		0.110948446	
34	14	brunner2012	brunner	2012	exp	28	bimanual therapy	http://www.ncbi.nlm.nih.gov/pubmed/22561098	norway		bergen	26	26	26	1	28	118	64.8		36.9	<90days	0.10109589	1		>24																					1	arat			lohse	1	0	16	30.07	13.99	0	15	45.27	13.8			15	45.53	14.49	0.5	15.2	13.89860015	15.46	14.23357238	1.093635318	1.086164428	0.949152542	1.038026743	1.030935728	0.099876194	0.099367286	0.089977519	0.089519049
35	14	brunner2012	brunner	2012	exp	29	modified CIMT	http://www.ncbi.nlm.nih.gov/pubmed/22561098	norway		bergen	106	66	26	1	28	118	61		48.43	<90days	0.132684932	1		>24																					1	arat			lohse	1	0	14	26.46	13.18	0	13	39.69	13.4			13	44.23	15.08	0.5	13.23	13.28605464	17.77	14.1239343	0.995780941	1.258148022	0.941176471	0.937205592	1.184139315	0.106842132	0.127962016	0.094642165	0.113350436
36	15	burgar2011	burgar	2011	exp	30	robot lo	http://www.ncbi.nlm.nih.gov/pubmed/21674393	usa	TX	temple	8.6	8.6	8.6	1	21	180	62.5		17.3	<90days	0.04739726	1		>22		28.4														0.44					5	fma	fma		lohse	1	0	19	26.7	21.79449472	1	19	33.5		1	0	14	42.6		0.5	6.8	21.79449472	15.9	21.79449472	0.312005398	0.729542034	0.957746479	0.298822071	0.698716314	0.055193352	0.066637673	0.050627665	0.061125293
37	15	burgar2011	burgar	2011	ctrl	31	standard care	http://www.ncbi.nlm.nih.gov/pubmed/21674393	usa	TX	temple	9.4	9.4	9.4	1	21	180	68.1		10.6	<90days	0.029041096	1		>22		26.9														0.33					6	fma	fma		lohse	1	0	18	24.2	20.3646753	1	18	38.2		1	0	12	39.5		0.5	14	20.3646753	15.3	20.3646753	0.687464926	0.751300955	0.955223881	0.656682915	0.717660614	0.068683556	0.071234809	0.062670494	0.064998391
38	15	burgar2011	burgar	2011	exp	32	robot hi	http://www.ncbi.nlm.nih.gov/pubmed/21674393	usa	TX	temple	15.8	15.8	15.8	1	21	180	58.6		16.6	<90days	0.045479452	1		>22		27.9														0.31					7	fma	fma		lohse	1	0	17	19	15.25549081	1	17	33.4		1	0	11	42.6		0.5	14.4	15.25549081	23.6	15.25549081	0.943922433	1.546983987	0.952380952	0.898973745	1.473318083	0.085029105	0.129210572	0.077123904	0.117197798
39	16	carmeli2011	carmeli	2011	ctrl	33	conventional PT and OT	http://www.ncbi.nlm.nih.gov/pubmed/20740477	israel		tel aviv					21	31	62.5		11.25	<90days	0.030821918	1		>24																					1	fma	fma		lohse	0	0	15	49.3	9.4	0	15	52.4	8.1			15	51.9	6.3	0.5	3.1	8.774109641	2.6	8.001562347	0.353312202	0.324936542	0.945454545	0.334040628	0.307212731	0.07082765	0.070186125	0.063311725	0.062738275
40	16	carmeli2011	carmeli	2011	exp	34	handtutor augmented therapy	http://www.ncbi.nlm.nih.gov/pubmed/20740477	israel		tel aviv					21	31	57.8		8.41	<90days	0.023041096	1		>24																					2	fma	fma		lohse	0	0	16	46.8	13.1	0	16	56.6	6.6			16	56.9	7	0.5	9.8	10.37231893	10.1	10.50261872	0.944822471	0.961664921	0.949152542	0.89678065	0.912766704	0.090396547	0.091399982	0.081437395	0.08234138
41	17	cauraugh2003	cauraugh	2003	ctrl	35	bilateral arm training	http://www.ncbi.nlm.nih.gov/pubmed/14568122	usa	FL	gainesville	6	6	6	1	14		66.4		1022	>1year	2.8	0																							0	box and block test			lohse	0	0	6	15.1	7.8	0	6	14.5	11.3						0.5	-0.6	9.709016428		7.8	-0.061798227		0.842105263	-0.052040612		0.166984918		0.118415898	
42	17	cauraugh2003	cauraugh	2003	exp	36	bilateral arm training + 5s stimulation	http://www.ncbi.nlm.nih.gov/pubmed/14568122	usa	FL	gainesville	6	6	6	1	14		66.4		1022	>1year	2.8	0																							0	box and block test			lohse	0	0	10	15.7	10.12	0	10	19.5	7.59						0.5	3.8	8.944900782		10.12	0.424823046		0.914285714	0.388409642		0.109023731		0.091134939	
43	17	cauraugh2003	cauraugh	2003	exp	37	bilateral arm training + 10s stimulation	http://www.ncbi.nlm.nih.gov/pubmed/14568122	usa	FL	gainesville	6	6	6	1	14		66.4		1022	>1year	2.8	0																							0	box and block test			lohse	0	0	10	22.9	15.8	0	10	27.8	15.5						0.5	4.9	15.65071883		15.8	0.313084661		0.914285714	0.286248833		0.1049011		0.087688756	
44	18	chan2009	chan	2009	ctrl	38	bilateral OT without FES	http://www.ncbi.nlm.nih.gov/pubmed/19074684	china		hong kong	20	20	20				45		363	<1year	0.994520548	0		27.4											15										0	functional test of the hemiparetic UE			lohse	1	1	10	2.8	0.6	0	10	3.1	0.6						0.5	0.3	0.6		0.6	0.5		0.914285714	0.457142857		0.1125		0.094040816	
45	18	chan2009	chan	2009	exp	39	bilateral OT with FES	http://www.ncbi.nlm.nih.gov/pubmed/19074684	china		hong kong	20	20	20				46		543	>1year	1.487671233	0		27.3											15										0	functional test of the hemiparetic UE			lohse	1	1	10	2.4	0.8	0	10	3.7	0.5						0.5	1.3	0.667083203		0.8	1.948782391		0.914285714	1.781743901		0.28988764		0.242322403	
46	19	chen2011	chen	2011	ctrl	40	conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/21504953	taiwan		hualien	20	20	20	1	42		62.3		11	<90days	0.030136986	1					2		0										1.5						1	fma-le			lohse	0	0	17	6		1	16	6		0	0				0.5	0						0.952380952						
47	19	chen2011	chen	2011	exp	41	thermal stimulation + conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/21504953	taiwan		hualien	20	20	20	1	42		58		11	<90days	0.030136986	1					2		0										2						1	fma-le			lohse	0	0	18	7		1	17	14		1	0				0.5	7						0.955223881						
48	20	cho2013	cho	2013	ctrl	42	treadmill training + conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/23598900	south korea		seoul	33	33	33	1	42		65.14	4.74	312	<1year	0.854794521	1		26.14			2.57																		1	BBS			lohse	0	0	8	35.14	3.53	0	7	37	3.21	0	0				0.5	1.86	3.386067608		3.53	0.549309764		0.888888889	0.488275346		0.143858826		0.113666233	
49	20	cho2013	cho	2013	exp	43	virtual reality walking + conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/23598900	south korea		seoul	33	33	33	1	42		64.57	4.35	288.28	<1year	0.789808219	1		26.71			2.85																		1	BBS			lohse	0	0	8	36.71	2.28	0	7	40.85	1.67	0	0				0.5	4.14	2.021465576		2.28	2.048019045		0.888888889	1.820461374		0.387148876		0.305895408	
50	20	cho2013	cho	2013	ctrl	42	treadmill training + conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/23598900	south korea		seoul	33	33	33	1	42		65.14	4.74	312	<1year	0.854794521	1		26.14			2.57																		1	tug			USU	0	0	7	22.13	5.82	0	7	21.18	5.86						0.5	-0.95	5.840034246		5.82	0.162670279		0.869565217	0.141452416		0.144747259		0.109449723	
51	20	cho2013	cho	2013	exp	43	virtual reality walking + conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/23598900	south korea		seoul	33	33	33	1	42		64.57	4.35	288.28	<1year	0.789808219	1		26.71			2.85																		1	tug			USU	0	0	7	22.93	4.29	0	7	20.67	3.73						0.5	-2.26	4.019763675		4.29	0.562222106		0.869565217	0.488888788		0.165435264		0.125092827	
52	20	cho2013	cho	2013	ctrl	42	treadmill training + conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/23598900	south korea		seoul	33	33	33	1	42		65.14	4.74	312	<1year	0.854794521	1		26.14			2.57																		1	gait speed		speed	USU	0	0	7	52.05	18.04	0	7	61.8	20.64						0.5	9.75	19.38364259		18.04	0.503001433		0.869565217	0.43739255		0.160929317		0.121685684	
53	20	cho2013	cho	2013	exp	43	virtual reality walking + conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/23598900	south korea		seoul	33	33	33	1	42		64.57	4.35	288.28	<1year	0.789808219	1		26.71			2.85																		1	gait speed		speed	USU	0	0	7	54.27	16.18	0	7	79.67	13.91						0.5	25.4	15.08775165		16.18	1.683484762		0.869565217	1.463899793		0.345294353		0.261092138	
54	21	conroy2011	conroy	2011	ctrl	44	intensive conventional arm therapy	http://www.ncbi.nlm.nih.gov/pubmed/21849168	usa	MD	baltimore	18	18	18	1	42	126	56		1460	>1year	4	1															71.4								2	fma-ue	fma		lohse	1	0	21	18.2	12.5	1	19	19.39		1	0	19	20.02		0.5	1.19	12.5	1.82	12.5	0.0952	0.1456	0.962025316	0.09158481	0.140070886	0.047834834	0.048123794	0.04427079	0.044538221
55	21	conroy2011	conroy	2011	exp	45	robot assisted therapy without gravity compensation	http://www.ncbi.nlm.nih.gov/pubmed/21849168	usa	MD	baltimore	18	18	18	1	42	126	57		1095	>1year	3	1															73.2								3	fma-ue	fma		lohse	1	0	20	20.3	14.7	1	17	23.27		1	0	17	23.6		0.5	2.97	14.7	3.3	14.7	0.202040816	0.224489796	0.96	0.193959184	0.215510204	0.051020512	0.051259892	0.047020504	0.047241116
56	21	conroy2011	conroy	2011	exp	46	robot assisted therapy with gravity compensation	http://www.ncbi.nlm.nih.gov/pubmed/21849168	usa	MD	baltimore	18	18	18	1	42	126	60		1825	>1year	5	1															70.6								5	fma-ue	fma		lohse	1	0	21	16.5	10.6	1	16	18.2		1	0	16	19.11		0.5	1.7	10.6	2.61	10.6	0.160377358	0.246226415	0.962025316	0.154287079	0.236876045	0.04823145	0.049062558	0.044637855	0.04540704
57	22	cooke2010	cooke	2010	ctrl	47	conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/19704158	uk	norfolk	norwich	9.2	9.2	9.2	1	42	84	66.4		36.76	<90days	0.100712329	1										>28						29.4							7	10mwt		speed	lohse	1	1	38	0.17	0.224	0	31	0.3	0.35	0	0	24	0.44	0.39	0.5	0.13	0.287332352	0.27	0.298742141	0.45243774	0.903789466	0.979591837	0.443204317	0.885344783	0.029009209	0.037063624	0.027837242	0.035566259
58	22	cooke2010	cooke	2010	exp	48	CPT+CPT	http://www.ncbi.nlm.nih.gov/pubmed/19704158	uk	norfolk	norwich	23	23	23	1	42	84	67.5		32.43	<90days	0.088849315	1										>28						28.9							3	10mwt		speed	lohse	1	1	35	0.27	0.36	0	32	0.55	0.49	0	0	28	0.59	0.48	0.5	0.28	0.426966041	0.32	0.417392373	0.65578986	0.766664703	0.977777778	0.641216752	0.749627709	0.034715148	0.036968211	0.033189396	0.035343435
59	22	cooke2010	cooke	2010	exp	49	CPT+FST	http://www.ncbi.nlm.nih.gov/pubmed/19704158	uk	norfolk	norwich	23.5	23.5	23.5	1	42	84	71.2		33.86	<90days	0.092767123	1										>28						30.3							0	10mwt		speed	lohse	1	1	36	0.23	0.29	0	36	0.42	0.39	0	0	29	0.46	0.37	0.5	0.19	0.343656806	0.23	0.327973576	0.552877164	0.701276007	0.978417266	0.540944563	0.686140554	0.032023238	0.034608167	0.030655857	0.03313041
60	23	crosbie2012	crosbie	2012	exp	50	VR mediated UE therapy	http://www.ncbi.nlm.nih.gov/pubmed/22275463	uk		newtonabbey	6.75	6.75	6.75	1	21	201	56.1		351	<1year	0.092767123	0																							0	motricity index-ue			lohse	0	1	9	71.7	9.4	0	9	84.9	9.2			9	85.2	12	0.5	13.2	9.300537619	13.5	10.77868267	1.419272793	1.252472164	0.903225806	1.281923813	1.13126518	0.223018626	0.198260362	0.181942354	0.161744146
61	23	crosbie2012	crosbie	2012	ctrl	51	standard therapy matched to the control group	http://www.ncbi.nlm.nih.gov/pubmed/22275463	uk		newtonabbey	6.75	6.75	6.75	1	21	201	64.6		300	<1year	0.092767123	0																							0	motricity index-ue			lohse	0	1	9	77.4	19.5	0	8	85	22.1			8	81.6	20.9	0.5	7.6	20.75390726	4.2	20.16543247	0.366196105	0.208277209	0.903225806	0.330757772	0.18812135	0.118561088	0.113521078	0.096724134	0.092612409
62	24	da silva cameiro2011	da silva cameiro	2011	exp	52	VR + conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/21697589	spain		barcelona	11.88	11.88	11.88	1	84	168	63.7	11	11.5	<90days	0.031506849	1	6.2									52.2													2	barthel			lohse	0	0	10	42.1	6.8	1	8			1	0				0.5		6.8		6.8			0.914285714						
63	24	da silva cameiro2011	da silva cameiro	2011	ctrl	53	conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/21697589	spain		barcelona					84	168	58.8	11	15.1	<90days	0.041369863	1	6.3									42.7													1	barthel			lohse	0	0	9	45.6	14.1	1	8			1	0				0.5		14.1		14.1			0.903225806						
