index,id,author,year,group,group_desc,complete,word_count,ref_count,PT_inc,OT_inc,ST_inc,pg_number,,hpd_STR,h_IS_NUM,hpd,dpw_STR,d_IS_NUM,dpw,duration_STR,dur_IS_NUM,duration,exp_dur,total_hrs_STR,tot_IS_NUM,total_hours,time_MAX,time_50,time_MIN,detailed_time,how_quantified,name,why,materials,procedure,who,how,where,how_much,tailor,modify,planned,actual,tidy_sum
20,cho2013,cho,2013,exp,virtual reality walking + conventional therapy,1,705,5,,Y,,4,,,0.00,,,0.00,,6,1.00,6.00,42,,0.00,,33,33,33,1,2,1,1,1,1,0,1,1,1,1,0,0,1,9
21,conroy2011,conroy,2011,ctrl,intensive conventional arm therapy,1,173,1,,,,5,,1,1.00,1.00,3,1.00,3.00,6,1.00,6.00,42,18,1.00,18.00,18,18,18,1,1,1,0,0,0,0,1,0,1,0,0,0,0,3
21,conroy2011,conroy,2011,exp,robot assisted therapy without gravity compensation,1,352,2,,,,4,,1,1.00,1.00,3,1.00,3.00,6,1.00,6.00,42,18,1.00,18.00,18,18,18,1,1,1,1,1,1,0,1,0,1,0,0,0,1,7
21,conroy2011,conroy,2011,exp,robot assisted therapy with gravity compensation,1,345,2,,,,4,,1,1.00,1.00,3,1.00,3.00,6,1.00,6.00,42,18,1.00,18.00,18,18,18,1,1,1,1,1,1,0,1,0,1,0,0,0,1,7
22,cooke2010,cooke,2010,ctrl,conventional therapy,1,200,1,Y,,,4,,1,1.00,1.00,4,1.00,4.00,6,1.00,6.00,42,24,1.00,24.00,9.2,9.2,9.2,1,1,1,0,0,0,1,1,0,1,0,0,1,1,6
22,cooke2010,cooke,2010,exp,CPT+CPT,1,299,1,Y,,,4,,1,1.00,1.00,4,1.00,4.00,6,1.00,6.00,42,24,1.00,24.00,23,23,23,1,1,1,1,1,1,1,1,0,1,1,0,1,1,10
22,cooke2010,cooke,2010,exp,CPT+FST,1,336,1,Y,,,4,,1,1.00,1.00,4,1.00,4.00,6,1.00,6.00,42,24,1.00,24.00,23.5,23.5,23.5,1,1,1,1,1,1,1,1,0,1,1,0,1,1,10
23,crosbie2012,crosbie,2012,exp,VR mediated UE therapy,1,204,2,,,,3,,,0.00,,3,1.00,3.00,3,1.00,3.00,21,,0.00,,6.75,6.75,6.75,1,2,1,1,1,0,1,1,0,1,1,0,1,1,9
23,crosbie2012,crosbie,2012,ctrl,standard therapy matched to the control group,1,104,1,,,,3,,,0.00,,,0.00,,,0.00,,21,,0.00,,6.75,6.75,6.75,1,2,1,0,0,0,1,1,0,0,0,0,0,1,4
24,da silva cameiro2011,da silva cameiro,2011,exp,VR + conventional therapy,1,362,1,Y,Y,,3,,,0.00,,3,1.00,3.00,,0.00,,84,,0.00,,11.88,11.88,11.88,1,2,1,1,1,1,0,1,1,0,0,0,1,1,8
24,da silva cameiro2011,da silva cameiro,2011,ctrl,conventional therapy,1,153,0,Y,Y,,5,,,0.00,,3,1.00,3.00,,0.00,,84,,0.00,,,,,,2,0,0,0,0,0,0,0,0,0,0,1,1,2
25,dahl2008,dahl,2008,exp,CIMT,1,251,0,Y,Y,,4,,6,1.00,6.00,,0.00,,,0.00,,14,60,1.00,60.00,204,132,60,1,2,1,1,0,0,1,1,1,1,0,0,1,1,8
25,dahl2008,dahl,2008,ctrl,traditional therapy,1,122,0,Y,Y,,4,,,0.00,,,0.00,,,0.00,,14,,0.00,,,,,,,1,0,0,0,0,1,0,0,0,0,1,1,4
26,daly2005,daly,2005,exp,robot assistance with motor learning,1,205,0,,,,4,,5,1.00,5.00,5,1.00,5.00,12,1.00,12.00,,300,1.00,300.00,,,,,1,1,1,1,0,0,0,0,1,1,0,0,1,6
26,daly2005,daly,2005,exp,functional neuromuscular stimulation with motor learning,1,160,0,,,,5,,5,1.00,5.00,5,1.00,5.00,12,1.00,12.00,,300,1.00,300.00,,,,,1,1,1,1,0,0,0,0,1,1,0,0,1,6
27,danzl2013,danzl,2013,ctrl,robotic gait training with sham tDCS,1,357,11,,,,3,,,0.00,,3,1.00,3.00,4,1.00,4.00,28,,0.00,,,,,,2,0,1,1,1,1,1,0,1,0,0,0,1,7
27,danzl2013,danzl,2013,exp,robotic gait training with tDCS,1,370,13,,,,3,,,0.00,,3,1.00,3.00,4,1.00,4.00,28,,0.00,,,,,,2,0,1,1,1,1,1,0,1,0,0,0,1,7
28,de deigo2013,de deigo,2013,exp,sensory stimulation + functional activity training,1,223,0,,,,2,,,0.00,,,0.00,,,0.00,,56,28,1.00,28.00,44,44,44,1,2,0,1,0,1,0,1,0,1,1,0,1,0,6
28,de deigo2013,de deigo,2013,ctrl,traditional therapy,1,133,0,,,,2,,,0.00,,,0.00,,,0.00,,56,,0.00,,16,16,16,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
29,dean2000,dean,2000,ctrl,upper limb training,1,204,3,,,,3,,1,1.00,1.00,,0.00,,,0.00,,28,,0.00,,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,8
29,dean2000,dean,2000,exp,circuit training,1,510,12,,,,2,,1,1.00,1.00,3,1.00,3.00,4,1.00,4.00,28,,0.00,,12,12,12,1,1,1,1,0,1,1,1,0,1,1,0,1,1,9
30,dean/ada2010/2010,dean/ada,2010/2010,exp,treadmill walking,1,280,1,,,,2,,,0.00,,,0.00,,,0.00,,180,,0.00,,,,,,2,0,1,0,0,1,1,0,1,1,0,0,1,6
30,dean/ada2010/2010,dean/ada,2010/2010,ctrl,overground walking,1,219,0,,,,2,,,0.00,,,0.00,,,0.00,,180,,0.00,,,,,,2,1,0,0,0,1,1,0,1,1,0,0,1,6
31,desrosiers2005,desrosiers,2005,exp,cpt + repetition of unilateral and symmetrical tasks,1,374,2,Y,Y,,4,,0.75,1.00,0.75,5,1.00,5.00,,0.00,,35,,0.00,,15,15,15,1,1,0,1,0,1,1,1,1,1,0,0,0,1,7
31,desrosiers2005,desrosiers,2005,ctrl,CPT dosage matched to experimental group,1,290,0,Y,Y,,5,,0.75,1.00,0.75,5,1.00,5.00,,0.00,,35,,0.00,,15,15,15,1,1,0,1,0,0,1,1,1,1,0,0,0,1,6
32,di lauro2003,di lauro,2003,ctrl,conventional therapy,1,140,0,,,,2,,0.75,1.00,0.75,,0.00,,,0.00,,14,,0.00,,10.5,10.5,10.5,1,1,1,0,0,0,0,1,0,1,0,0,0,0,3
32,di lauro2003,di lauro,2003,exp,CPT + CPT,1,253,2,,,,2,,2,1.00,2.00,,0.00,,,0.00,,14,,0.00,,28,28,28,1,1,1,1,0,0,0,1,0,1,0,0,0,0,4
33,dias2007,dias,2007,exp,bodyweight supported treadmill training,1,266,3,,,,2,,0.67,1.00,0.67,5,1.00,5.00,5,1.00,5.00,35,16.75,1.00,16.75,16.67,16.67,16.67,1,2,0,1,1,1,1,1,0,1,0,0,0,0,6
33,dias2007,dias,2007,ctrl,conventional therapy using the bobath method,1,61,1,,,,2,,0.67,1.00,0.67,5,1.00,5.00,5,1.00,5.00,35,16.75,1.00,16.75,16.67,16.67,16.67,1,2,1,0,0,0,1,1,0,1,0,0,0,0,4
34,dobkin2010,dobkin,2010,ctrl,conventional training,1,31,0,,,,4,,,0.00,,,0.00,,,0.00,,42.8,,0.00,,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,3
34,dobkin2010,dobkin,2010,exp,conventional gait training plus augmented feedback,1,144,0,Y,,,4,,,0.00,,,0.00,,,0.00,,40.4,,0.00,,,,,,,1,1,0,1,1,1,0,0,1,0,1,0,7
35,donaldson2009,donaldson,2009,ctrl,conventional therapy,1,219,3,Y,,,3,,1,1.00,1.00,4,1.00,4.00,6,1.00,6.00,42,24,1.00,24.00,2.81,2.81,2.81,3,2,1,1,0,1,1,1,0,1,1,0,1,1,9
35,donaldson2009,donaldson,2009,exp,CPT + CPT,1,244,3,Y,,,3,,1,1.00,1.00,4,1.00,4.00,6,1.00,6.00,42,24,1.00,24.00,13.8,13.8,13.8,3,2,1,1,0,1,1,1,0,1,1,0,1,1,9
35,donaldson2009,donaldson,2009,exp,CPT + FST,1,382,1,Y,,,3,,1,1.00,1.00,4,1.00,4.00,6,1.00,6.00,42,24,1.00,24.00,17.7,17.7,17.7,3,2,1,1,0,1,1,1,0,1,1,0,1,1,9
36,dromerick2000,dromerick,2000,ctrl,standard care,1,124,0,,Y,,3,,2,1.00,2.00,5,1.00,5.00,2,1.00,2.00,14,20,1.00,20.00,20,20,20,1,1,1,0,0,0,1,1,0,1,0,0,0,1,5
36,dromerick2000,dromerick,2000,exp,CIMT,1,185,0,,Y,,3,,6,1.00,6.00,,0.00,,,0.00,,14,84,1.00,84.00,104,62,20,1,2,1,1,0,0,1,1,0,1,0,0,0,1,6
37,dromerick2009,dromerick,2009,ctrl,ctrl,1,182,1,,Y,,2,,2,1.00,2.00,5,1.00,5.00,2,1.00,2.00,14,20,1.00,20.00,20,20,20,3,2,1,0,0,0,1,1,1,1,0,0,0,1,6
37,dromerick2009,dromerick,2009,exp,lo cimt,1,271,1,,Y,,2,,,0.00,,5,1.00,5.00,2,1.00,2.00,14,,0.00,,70,50,30,3,2,1,0,0,0,0,1,1,1,0,0,0,1,5
37,dromerick2009,dromerick,2009,exp,hi cimt,1,269,1,,Y,,2,,,0.00,,5,1.00,5.00,2,1.00,2.00,14,,0.00,,130.8,80.4,30,3,2,1,0,0,0,0,1,1,1,0,0,0,1,5
38,duncan1998,duncan,1998,exp,home-based exercise and rehab,1,473,1,,,,4,,1.5,1.00,1.50,3,1.00,3.00,8,1.00,8.00,56,36,1.00,36.00,36,36,36,1,2,1,1,1,1,1,1,1,1,1,0,1,1,11
38,duncan1998,duncan,1998,ctrl,usual care,1,90,0,,,,4,,,0.00,,,0.00,,,0.00,,56,,0.00,,,,,1,,1,0,0,0,0,1,0,0,0,0,1,1,4
39,duncan2003,duncan,2003,ctrl,standard care,1,46,0,,,,3,,,0.00,,,0.00,,,0.00,,84,,0.00,,28.65,28.65,28.65,3,,1,0,0,0,0,0,0,0,0,0,1,1,3
39,duncan2003,duncan,2003,exp,home exercise program,1,511,0,,,,3,,1.5,1.00,1.50,,0.00,,12-14W,0.00,,84,,0.00,,50.66,50.66,50.66,3,2,1,1,0,1,1,1,1,1,1,0,0,1,9
40,duncan2011,duncan,2011,exp,early locomotor,1,179,1,,,,3,,1.5,1.00,1.50,3,1.00,3.00,14-16W,0.00,,98,,0.00,,54,54,54,3,2,1,1,1,0,1,1,0,1,0,0,0,0,6
40,duncan2011,duncan,2011,ctrl,late locomotor (pre-crossover),1,179,1,,,,3,,1.5,1.00,1.50,3,1.00,3.00,14-16W,0.00,,98,,0.00,,22.5,22.5,22.5,3,2,1,1,1,0,1,1,0,1,0,0,0,0,6
40,duncan2011,duncan,2011,exp,home exercise program,1,78,1,,,,3,,1.5,1.00,1.50,3,1.00,3.00,14-16W,0.00,,98,,0.00,,54,54,54,3,2,1,0,0,0,1,1,0,1,0,0,0,0,4
41,eich2004,eich,2004,exp,treadmill walking + conventional therapy,1,336,0,Y,,,4,,1,1.00,1.00,,0.00,,,0.00,,42,180,1.00,180.00,30,30,30,3,1,1,1,0,0,0,1,0,1,0,0,0,1,5
41,eich2004,eich,2004,ctrl,conventional therapy dosage matched to exp group,1,160,0,Y,,,4,,1,1.00,1.00,,0.00,,,0.00,,42,180,1.00,180.00,30,30,30,3,1,1,0,0,0,0,1,0,1,0,0,0,1,4
42,fang2003,fang,2003,exp,additional early physiotherapy,1,140,0,,,,3,,0.75,1.00,0.75,5,1.00,5.00,4,1.00,4.00,30,15,1.00,15.00,15,15,15,1,1,1,1,0,0,1,1,1,1,0,0,0,1,7
42,fang2003,fang,2003,ctrl,"not clear described as CPT and ""no professional rehabilitation""",1,63,0,,,,3,,0.75,1.00,0.75,5,1.00,5.00,4,1.00,4.00,30,15,1.00,15.00,11.25,11.25,11.25,1,1,1,0,0,0,1,1,1,1,0,0,0,1,6
43,feys1998,feys,1998,ctrl,standard care,1,109,0,,,,3,,0.5,1.00,0.50,5,1.00,5.00,6,1.00,6.00,42,15,1.00,15.00,15,15,15,2,1,0,0,0,0,0,1,0,1,0,0,0,1,3
43,feys1998,feys,1998,exp,SC + sensory therapy,1,276,0,,,,3,,0.5,1.00,0.50,5,1.00,5.00,6,1.00,6.00,42,15,1.00,15.00,30,30,30,2,1,0,1,0,1,0,1,0,1,0,0,0,1,5
44,fisher2011,fisher,2011,exp,robot assited gait therapy,1,565,2,,,,3,,,0.00,,,0.00,,,0.00,,56,,0.00,,24,24,24,2,2,1,1,1,0,0,1,1,1,0,0,0,1,7
44,fisher2011,fisher,2011,ctrl,CPT,1,256,1,,,,3,,,0.00,,,0.00,,,0.00,,56,24,1.00,24.00,24,24,24,2,2,0,0,0,0,1,1,1,1,0,0,0,1,5
45,franceshini2009,franceshini,2009,exp,bodyweight supported treadmill training + CPT,1,244,0,,,,3,,1,1.00,1.00,5,1.00,5.00,,0.00,,28,20,1.00,20.00,20,20,20,2,2,1,1,1,0,1,1,0,1,0,0,0,1,7
45,franceshini2009,franceshini,2009,ctrl,CPT + overground walking,1,139,0,,,,3,,1,1.00,1.00,5,1.00,5.00,,0.00,,28,20,1.00,20.00,20,20,20,2,2,1,0,0,0,1,0,1,1,0,0,0,1,5
46,fuzaro2011,fuzaro,2011,exp,mCIMT,1,374,4,,,,4,,,0.00,,5,1.00,5.00,4,1.00,4.00,28,,0.00,,39.67,28.17,16.67,1,4,1,1,1,0,0,1,0,1,0,0,1,1,7
46,fuzaro2011,fuzaro,2011,exp,modified forced use therapy,1,187,0,,,,4,,,0.00,,,0.00,,,0.00,,28,,0.00,,23,11.5,0,1,4,1,1,0,0,1,1,0,1,0,0,1,1,7
47,galvin2011,galvin,2011,ctrl,routine therapy with no formal input from family members,1,336,1,Y,,,2,,,0.00,,,0.00,,8,1.00,8.00,56,,0.00,,,,,,2,1,0,0,0,1,1,0,1,1,0,1,1,7
47,galvin2011,galvin,2011,exp,routine therapy + additional family mediated therapy,1,135,0,Y,,,2,,,0.00,,,0.00,,8,1.00,8.00,56,,0.00,,,,,,2,1,1,0,0,1,1,0,0,0,0,0,1,5
48,GAPS Group2004,GAPS Group,2004,ctrl,conventional therapy,1,186,3,Y,,,3,,,0.00,,,0.00,,5,1.00,5.00,28,,0.00,,11.66666667,11.66666667,11.66666667,1,2,1,0,0,0,0,0,0,1,0,0,0,1,3
48,GAPS Group2004,GAPS Group,2004,exp,CPT + CPT,1,186,3,Y,,,3,,,0.00,,,0.00,,5,1.00,5.00,28,,0.00,,23.33333333,23.33333333,23.33333333,1,2,1,1,0,0,0,1,0,1,0,0,0,1,5
49,gelber1995,gelber,1995,ctrl,traditional therapy,1,226,3,,,,3,,,0.00,,,0.00,,,0.00,,25.2,,0.00,,,,,,,1,1,0,0,1,1,0,0,0,0,1,1,6
49,gelber1995,gelber,1995,exp,neurodevelopmental therapy,1,221,4,,,,3,,,0.00,,,0.00,,,0.00,,27.3,,0.00,,,,,,,1,1,0,0,1,1,0,0,0,0,1,1,6
50,gilbertson2000,gilbertson,2000,ctrl,conventional inpatient rehab,1,38,0,,,,1,,,0.00,,,0.00,,,0.00,,42,,0.00,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,2
50,gilbertson2000,gilbertson,2000,exp,domiciliary occupational therapy,1,81,1,,,,1,,,0.00,,,0.00,,6,1.00,6.00,42,,0.00,,,,,,2,1,1,0,0,0,1,0,1,0,0,0,1,5
51,gladman/gladman1993/1994,gladman/gladman,1993/1994,exp,domiciliary occupational therapy,1,106,0,,,,2,,,0.00,,,0.00,,,0.00,,180,,0.00,,,,,,,1,1,0,0,1,1,0,0,0,0,0,0,4
51,gladman/gladman1993/1994,gladman/gladman,1993/1994,ctrl,traditional therapy,1,91,0,,,,2,,,0.00,,,0.00,,,0.00,,180,,0.00,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,2
52,globas2012,globas,2012,exp,high intensity treadmill training,1,388,5,,,,4,,,0.00,,3,1.00,3.00,13,1.00,13.00,90,,0.00,,19.5,19.5,19.5,2,2,1,1,0,0,1,1,0,1,1,0,0,1,7
52,globas2012,globas,2012,ctrl,conventional therapy,1,90,0,,,,4,,1,1.00,1.00,,0.00,,13,1.00,13.00,90,,0.00,,,,,,2,1,0,0,0,0,0,0,1,0,0,0,1,3
53,green2002,green,2002,exp,community physical therapy,1,122,2,,,,2,,,0.00,,,0.00,,13,1.00,13.00,90,,0.00,,,,,,,1,1,0,0,1,1,0,1,0,0,0,1,6
53,green2002,green,2002,ctrl,no treatment?,1,3,0,,,,2,,,0.00,,,0.00,,,0.00,,90,,0.00,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1
54,han2013,han,2013,ctrl,regular rehabilitation therapy and medical treatment,1,97,0,,,,2,,1,1.00,1.00,5,1.00,5.00,6,1.00,6.00,42,30,1.00,30.00,30,30,30,1,2,0,1,0,0,0,0,0,1,0,0,0,1,3
54,han2013,han,2013,exp,CPT at increased intensity,1,97,0,,,,2,,2,1.00,2.00,5,1.00,5.00,6,1.00,6.00,42,60,1.00,60.00,60,60,60,1,2,0,1,0,0,0,0,0,1,0,0,0,1,3
54,han2013,han,2013,exp,CPT at increased intensity,1,97,0,,,,2,,3,1.00,3.00,5,1.00,5.00,6,1.00,6.00,42,90,1.00,90.00,90,90,90,1,2,0,1,0,0,0,0,0,1,0,0,0,1,3
55,harris2009,harris,2009,exp,supplementary arm and hand therapy plus usual care,1,287,0,Y,Y,,3,,1,1.00,1.00,6,1.00,6.00,4,1.00,4.00,28,24,1.00,24.00,43.2,43.2,43.2,2,2,1,1,0,0,0,1,0,1,0,0,1,1,6
55,harris2009,harris,2009,ctrl,usual care,1,75,0,Y,Y,,4,,,0.00,,,0.00,,,0.00,,28,,0.00,,31.2,31.2,31.2,2,,0,0,0,0,0,0,0,0,0,0,0,1,1
