index,id,author,year,year_ini,group,group_desc,complete,cpt_only,word_count,ref_count,PT_inc,OT_inc,ST_inc,pg_number,hpd_STR,h_IS_NUM,hpd,dpw_STR,d_IS_NUM,dpw,duration_STR,dur_IS_NUM,ther_duration,exp_dur,time_MAX,time_50,time_MIN,detailed_time,id,Protocol mentioned elsewhere,protocol,group,name,why,materials,procedure,who,how,where,how_much,tailor,modify,planned,actual,tidy_sum,PEDro_score
25,dahl2008,dahl,2008,2008,exp,CIMT,1,0,251,0,y,y,,4,6,1,6,,0,,2,1,2,14,204,132,60,1,dahl2008,,,exp,1,1,0,0,1,1,1,1,0,0,1,1,8,8
25,dahl2008,dahl,2008,2008,ctrl,traditional therapy,1,1,122,0,y,y,,4,,0,,,0,,2,1,2,14,,,,,dahl2008,,,ctrl,1,0,0,0,0,1,0,0,0,0,1,1,4,8
26,daly2005,daly,2005,2005,exp,robot assistance with motor learning,1,0,205,0,,,,4,5,1,5,5,1,5,12,1,12,,,,,,daly2005,,,exp,1,1,1,0,0,0,0,1,1,0,0,1,6,5
26,daly2005,daly,2005,2005,exp,functional neuromuscular stimulation with motor learning,1,0,160,0,,,,5,5,1,5,5,1,5,12,1,12,,,,,,daly2005,,,exp,1,1,1,0,0,0,0,1,1,0,0,1,6,5
27,danzl2013,danzl,2013,2013,ctrl,robotic gait training with sham tDCS,1,0,357,11,,,,3,,0,,3,1,3,4,1,4,28,,,,,danzl2013,,,ctrl,0,1,1,1,1,1,0,1,0,0,0,1,7,
27,danzl2013,danzl,2013,2013,exp,robotic gait training with tDCS,1,0,370,13,,,,3,,0,,3,1,3,4,1,4,28,,,,,danzl2013,,,exp,0,1,1,1,1,1,0,1,0,0,0,1,7,
28,de deigo2013,de deigo,2013,2013,exp,sensory stimulation + functional activity training,1,0,223,0,,,,2,,0,,,0,,8,1,8,56,44,44,44,1,de deigo2013,,,exp,0,1,0,1,0,1,0,1,1,0,1,0,6,6
28,de deigo2013,de deigo,2013,2013,ctrl,traditional therapy,1,1,133,0,,,,2,,0,,,0,,8,1,8,56,16,16,16,1,de deigo2013,,,ctrl,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29,dean2000,dean,2000,2000,ctrl,upper limb training,1,0,204,3,,,,3,1,1,1,,0,,4,1,4,28,0,0,0,1,dean2000,,,ctrl,0,1,0,1,1,1,1,1,1,0,1,1,9,5
29,dean2000,dean,2000,2000,exp,circuit training,1,0,510,12,,,,2,1,1,1,3,1,3,4,1,4,28,12,12,12,1,dean2000,,,exp,1,1,0,1,1,1,1,1,1,0,1,1,10,5
30,dean/ada2010/2010,dean/ada,2010/2010,2010,exp,treadmill walking,1,0,280,1,,,,2,,0,,5,1,5,26,1,26,180,,,,,dean/ada2010/2010,,1,exp,1,1,1,1,1,1,1,1,1,0,1,1,11,8
30,dean/ada2010/2010,dean/ada,2010/2010,2010,ctrl,overground walking,1,0,219,0,,,,2,,0,,5,1,5,26,1,26,180,,,,,dean/ada2010/2010,,1,ctrl,1,0,0,0,1,1,1,1,1,0,1,1,8,8
31,desrosiers2005,desrosiers,2005,2005,exp,cpt + repetition of unilateral and symmetrical tasks,1,0,374,2,y,y,,4,0.75,1,0.75,5,1,5,5,1,5,35,15,15,15,1,desrosiers2005,,,exp,0,1,0,1,1,1,1,1,0,0,0,1,7,6
31,desrosiers2005,desrosiers,2005,2005,ctrl,CPT dosage matched to experimental group,1,1,290,0,y,y,,5,0.75,1,0.75,5,1,5,5,1,5,35,15,15,15,1,desrosiers2005,,,ctrl,0,1,0,0,1,1,1,1,0,0,0,1,6,6
32,di lauro2003,di lauro,2003,2003,ctrl,conventional therapy,1,1,140,0,,,,2,0.75,1,0.75,,0,,2,1,2,14,10.5,10.5,10.5,1,di lauro2003,,,ctrl,1,0,0,0,0,1,1,1,0,0,0,0,4,7
32,di lauro2003,di lauro,2003,2003,exp,CPT + CPT,1,1,253,2,,,,2,2,1,2,,0,,2,1,2,14,28,28,28,1,di lauro2003,The protocol for experimental therapy mentioned in another study (mobilization according to the scheme of Knott&Voss: Ref. No. 6). ,1,exp,1,1,0,0,0,1,1,1,0,0,0,0,5,7
33,dias2007,dias,2007,2007,exp,bodyweight supported treadmill training,1,0,266,3,,,,2,0.67,1,0.67,5,1,5,5,1,5,35,16.67,16.67,16.67,1,dias2007,,,exp,0,1,1,1,1,1,0,1,0,0,0,0,6,
33,dias2007,dias,2007,2007,ctrl,conventional therapy using the bobath method,1,1,61,1,,,,2,0.67,1,0.67,5,1,5,5,1,5,35,16.67,16.67,16.67,1,dias2007,,,ctrl,1,0,0,0,1,1,0,1,0,0,0,0,4,
34,dobkin2010,dobkin,2010,2010,ctrl,conventional training,1,1,31,0,,,,4,,0,,,0,,08 or less,0,,42.8,,,,,dobkin2010,,,ctrl,1,0,0,0,1,1,0,0,0,0,0,0,3,7
34,dobkin2010,dobkin,2010,2010,exp,conventional gait training plus augmented feedback,1,0,144,0,y,,,4,,0,,,0,,08 or less,0,,40.4,,,,,dobkin2010,,,exp,1,1,0,1,1,1,0,0,1,0,1,0,7,7
35,donaldson2009,donaldson,2009,2009,ctrl,conventional therapy,1,1,219,3,y,,,3,1,1,1,4,1,4,6,1,6,42,2.81,2.81,2.81,3,donaldson2009,,,ctrl,1,1,0,1,1,1,0,1,1,0,1,1,9,8
35,donaldson2009,donaldson,2009,2009,exp,CPT + CPT,1,1,244,3,y,,,3,1,1,1,4,1,4,6,1,6,42,13.8,13.8,13.8,3,donaldson2009,,,exp,1,1,0,1,1,1,0,1,1,0,1,1,9,8
35,donaldson2009,donaldson,2009,2009,exp,CPT + FST,1,0,382,1,y,,,3,1,1,1,4,1,4,6,1,6,42,17.7,17.7,17.7,3,donaldson2009,,,exp,1,1,0,1,1,1,0,1,1,0,1,1,9,8
36,dromerick2000,dromerick,2000,2000,ctrl,standard care,1,1,124,0,,y,,3,2,1,2,5,1,5,2,1,2,14,20,20,20,1,dromerick2000,,,ctrl,1,0,0,0,1,1,0,1,0,0,0,1,5,5
36,dromerick2000,dromerick,2000,2000,exp,CIMT,1,0,185,0,,y,,3,6,1,6,,0,,2,1,2,14,104,62,20,1,dromerick2000,,,exp,1,1,0,0,1,1,0,1,0,0,0,1,6,5
37,dromerick2009,dromerick,2009,2009,ctrl,traditional UE therapy,1,1,182,1,,y,,2,2,1,2,5,1,5,2,1,2,14,20,20,20,3,dromerick2009,"The paper states ""Prespecified treatment protocols were developed based on our prior study and incorporated features of the EXCITE trial manual"". ",1,ctrl,1,0,0,0,1,1,1,1,0,0,0,1,6,7
37,dromerick2009,dromerick,2009,2009,exp,lo cimt,1,0,271,1,,y,,2,,0,,5,1,5,2,1,2,14,70,50,30,3,dromerick2009,,,exp,1,0,0,0,1,1,1,1,0,0,0,1,6,7
37,dromerick2009,dromerick,2009,2009,exp,hi cimt,1,0,269,1,,y,,2,,0,,5,1,5,2,1,2,14,130.8,80.4,30,3,dromerick2009,,,exp,1,0,0,0,1,1,1,1,0,0,0,1,6,7
38,duncan1998,duncan,1998,1998,exp,home-based exercise and rehab,1,0,473,1,,,,4,1.5,1,1.5,3,1,3,8,1,8,56,36,36,36,1,duncan1998,,,exp,1,1,1,1,1,1,1,1,1,0,1,1,11,7
38,duncan1998,duncan,1998,1998,ctrl,usual care,1,1,90,0,,,,4,,0,,3,1,3,8,1,8,56,,,,1,duncan1998,,,ctrl,1,0,0,0,0,1,0,0,0,0,1,1,4,7
39,duncan2003,duncan,2003,2003,ctrl,standard care,1,1,46,0,,,,3,,0,,,0,,12 to 16,0,,84,28.65,28.65,28.65,3,duncan2003,,,ctrl,1,0,0,0,0,0,0,0,0,0,1,1,3,8
39,duncan2003,duncan,2003,2003,exp,home exercise program,1,0,511,0,,,,3,1.5,1,1.5,,0,,12 to 16,0,,84,50.66,50.66,50.66,3,duncan2003,,,exp,1,1,0,1,1,1,1,1,1,0,0,1,9,8
40,duncan2011,duncan,2011,2011,exp,early locomotor,1,0,179,1,,,,3,1.5,1,1.5,3,1,3,12 to 16,0,,98,54,54,54,3,duncan2011,Article states that physical therapists at each site were trained according to a standardized Protocol for the Locomotor Experience Applied Post-stroke (LEAPS) trial.,1,exp,1,1,1,1,1,1,0,1,1,0,1,1,10,8
40,duncan2011,duncan,2011,2011,ctrl,late locomotor (pre-crossover),1,0,179,1,,,,3,1.5,1,1.5,3,1,3,12 to 16,0,,98,22.5,22.5,22.5,3,duncan2011,Article states that physical therapists at each site were trained according to a standardized Protocol for the Locomotor Experience Applied Post-stroke (LEAPS) trial.,1,ctrl,1,1,1,1,1,1,0,1,1,0,1,1,10,8
40,duncan2011,duncan,2011,2011,exp,home exercise program,1,0,78,1,,,,3,1.5,1,1.5,3,1,3,12 to 16,0,,98,54,54,54,3,duncan2011,Article states that physical therapists at each site were trained according to a standardized Protocol for the Locomotor Experience Applied Post-stroke (LEAPS) trial.,1,exp,1,1,1,1,1,1,0,1,1,0,1,1,10,8
41,eich2004,eich,2004,2004,exp,treadmill walking + conventional therapy,1,0,336,0,y,,,4,1,1,1,,0,,6,1,6,42,30,30,30,3,eich2004,,,exp,1,1,0,0,0,1,0,1,0,0,0,1,5,8
41,eich2004,eich,2004,2004,ctrl,conventional therapy dosage matched to exp group,1,1,160,0,y,,,4,1,1,1,,0,,6,1,6,42,30,30,30,3,eich2004,,,ctrl,1,0,0,0,0,1,0,1,0,0,0,1,4,8
42,fang2003,fang,2003,2003,exp,additional early physiotherapy,1,0,140,0,,,,3,0.75,1,0.75,5,1,5,4,1,4,30,15,15,15,1,fang2003,,,exp,1,1,0,0,1,1,1,1,0,0,0,1,7,6
42,fang2003,fang,2003,2003,ctrl,"not clear described as CPT and ""no professional rehabilitation""",1,1,63,0,,,,3,0.75,1,0.75,5,1,5,4,1,4,30,11.25,11.25,11.25,1,fang2003,,,ctrl,1,0,0,0,1,1,1,1,0,0,0,1,6,6
43,feys1998,feys,1998,1998,ctrl,standard care,1,1,109,0,,,,3,0.5,1,0.5,5,1,5,6,1,6,42,15,15,15,2,feys1998,,,ctrl,0,0,0,0,0,1,0,1,0,0,0,1,3,5
43,feys1998,feys,1998,1998,exp,SC + sensory therapy,1,0,276,0,,,,3,0.5,1,0.5,5,1,5,6,1,6,42,30,30,30,2,feys1998,,,exp,0,1,1,1,0,1,0,1,0,0,0,1,6,5
44,fisher2011,fisher,2011,2011,exp,robot assited gait therapy,1,0,565,2,y,,,3,1,1,1,,0,,6 to 8,0,,56,24,24,24,2,fisher2011,,,exp,1,1,1,0,0,1,1,1,0,0,0,1,7,5
44,fisher2011,fisher,2011,2011,ctrl,CPT,1,1,256,1,y,,,3,1,1,1,,0,,6 to 8,0,,56,24,24,24,2,fisher2011,,,ctrl,0,0,0,0,1,1,1,1,0,0,0,1,5,5
45,franceshini2009,franceshini,2009,2009,exp,bodyweight supported treadmill training + CPT,1,0,244,0,,,,3,1,1,1,5,1,5,4,1,4,28,20,20,20,2,franceshini2009,,,exp,1,1,1,0,1,1,0,1,0,0,0,1,7,6
45,franceshini2009,franceshini,2009,2009,ctrl,CPT + overground walking,1,0,139,0,,,,3,1,1,1,5,1,5,4,1,4,28,20,20,20,2,franceshini2009,,,ctrl,1,0,0,0,1,0,1,1,0,0,0,1,5,6
46,fuzaro2011,fuzaro,2011,2011,exp,mCIMT,1,0,374,4,,,,4,,0,,5,1,5,4,1,4,28,39.67,28.17,16.67,1,fuzaro2011,,,exp,1,1,1,0,0,1,0,1,0,0,1,1,7,6
46,fuzaro2011,fuzaro,2011,2011,exp,modified forced use therapy,1,0,187,0,,,,4,,0,,5,1,5,4,1,4,28,23,11.5,0,1,fuzaro2011,,,exp,1,1,0,0,1,1,0,1,0,0,1,1,7,6
47,galvin2011,galvin,2011,2011,ctrl,routine therapy with no formal input from family members,1,0,336,1,y,,,2,,0,,,0,,8,1,8,56,,,,,galvin2011,,,ctrl,1,0,0,0,1,1,0,1,1,0,1,1,7,8
47,galvin2011,galvin,2011,2011,exp,routine therapy + additional family mediated therapy,1,0,135,0,y,,,2,,0,,,0,,8,1,8,56,,,,,galvin2011,,,exp,1,1,0,0,1,1,0,0,0,0,0,1,5,8
48,GAPS Group2004,GAPS Group,2004,2004,ctrl,conventional therapy,1,1,186,3,y,,,3,1 to 1.33,0,,5,1,5,5,1,5,28,11.66666667,11.66666667,11.66666667,1,GAPS Group2004,Outline treatment schedules were based on Edwards et al.; ref no.18. ,1,ctrl,1,0,0,0,0,0,0,1,0,0,0,1,3,7
48,GAPS Group2004,GAPS Group,2004,2004,exp,CPT + CPT,1,1,186,3,y,,,3,0.5 to 0.67,0,,5,1,5,5,1,5,28,23.33333333,23.33333333,23.33333333,1,GAPS Group2004,Outline treatment schedules were based on Edwards et al.; ref no.18. ,1,exp,1,1,0,0,0,1,0,1,0,0,0,1,5,7
49,gelber1995,gelber,1995,1995,ctrl,traditional therapy,1,0,226,3,,,,3,,0,,,0,,04 or less,0,,25.2,,,,,gelber1995,,,ctrl,1,1,0,0,1,1,0,0,0,0,1,1,6,4
49,gelber1995,gelber,1995,1995,exp,neurodevelopmental therapy,1,0,221,4,,,,3,,0,,,0,,04 or less,0,,27.3,,,,,gelber1995,,,exp,1,1,0,0,1,1,0,0,0,0,1,1,6,4
50,gilbertson2000,gilbertson,2000,2000,ctrl,conventional inpatient rehab,1,1,38,0,,,,1,,0,,,0,,6,1,6,42,,,,,gilbertson2000,,,ctrl,1,0,0,0,0,0,0,0,0,0,0,1,2,8
50,gilbertson2000,gilbertson,2000,2000,exp,domiciliary occupational therapy,1,0,81,1,,,,1,,0,,,0,,6,1,6,42,,,,,gilbertson2000,,,exp,1,1,0,0,0,1,0,1,0,0,0,1,5,8
51,gladman/gladman1993/1994,gladman/gladman,1993/1994,1993,exp,domiciliary occupational therapy,1,0,106,0,,,,2,,0,,,0,,26 to 52,0,,180,,,,,gladman/gladman1993/1994,"Article states that for the domiciliary care, the aim was to operate a service along the usual lines of a NHS service.",1,exp,1,1,0,0,1,1,0,0,0,0,0,0,4,7
51,gladman/gladman1993/1994,gladman/gladman,1993/1994,1993,ctrl,traditional therapy,1,1,91,0,,,,2,,0,,,0,,26 to 52,0,,180,,,,,gladman/gladman1993/1994,"Article states that for the domiciliary care, the aim was to operate a service along the usual lines of a NHS service.",1,ctrl,1,0,0,0,0,1,0,0,0,0,0,0,2,7
52,globas2012,globas,2012,2012,exp,high intensity treadmill training,1,0,388,5,,,,4,,0,,3,1,3,13,1,13,90,19.5,19.5,19.5,2,globas2012,,,exp,1,1,0,0,1,1,1,1,1,0,0,1,8,7
52,globas2012,globas,2012,2012,ctrl,conventional therapy,1,1,90,0,,,,4,1,1,1,,0,,13,1,13,90,,,,,globas2012,,,ctrl,1,0,0,0,0,0,1,1,0,0,0,1,4,7
53,green2002,green,2002,2002,exp,community physical therapy,1,0,122,2,,,,2,,0,,,0,,13,1,13,90,,,,,green2002,,,exp,1,1,0,0,1,1,0,1,0,0,0,1,6,8
53,green2002,green,2002,2002,ctrl,no treatment?,1,0,3,0,,,,2,,0,,,0,,13,1,13,90,,,,,green2002,,,ctrl,0,0,0,0,0,0,0,0,0,0,0,1,1,8
